N_Size,Algoritmo,Threads,Tiempo_s,Cache_References,Cache_Misses,IPC
2^20,Seq_Mergesort,1,secuencial:,7523786,360520,1,94
2^20,Par_Mergesort,8,0.000000,26749429,988033,1,55
2^20,Full_Paralelo,8,0.000000,42480216,1557150,1,95
2^22,Seq_Mergesort,1,secuencial:,35264581,1047786,1,88
2^22,Par_Mergesort,8,0.000000,127759673,3983218,1,71
2^22,Full_Paralelo,8,0.000000,198687677,5184079,2,03
2^24,Seq_Mergesort,1,secuencial:,156923289,4999116,1,89
2^24,Par_Mergesort,8,0.000000,596325936,15265258,1,83
2^24,Full_Paralelo,8,0.000000,966838863,18335956,2,04
2^26,Seq_Mergesort,1,secuencial:,729405704,13230990,1,90
2^26,Par_Mergesort,8,0.000000,2730216123,63212281,1,88
2^26,Full_Paralelo,8,0.000000,4622548884,73078893,2,06
